,Field,Description,Trait_Letter,Trait,Coding
0,A1,I know how to comfort others,A,Warmth,1
1,A2,I enjoy bringing people together,A,Warmth,1
2,A3,I feel others' emotions,A,Warmth,1
3,A4,I take an interest in other people's lives,A,Warmth,1
4,A5,I cheer people up,A,Warmth,1
5,A6,I make people feel at ease,A,Warmth,1
6,A7,I take time out for others,A,Warmth,1
7,A8,I don't like to get involved in other people's problems,A,Warmth,0
8,A9,I am not really interested in others,A,Warmth,0
9,A10,I try not to think about the needy,A,Warmth,0
10,B1,I make insightful remarks,B,Reasoning,1
11,B2,I know the answers to many questions,B,Reasoning,1
12,B3,I tend to analyze things,B,Reasoning,1
13,B4,I use my brain,B,Reasoning,1
14,B5,I learn quickly,B,Reasoning,1
15,B6,I counter others' arguments,B,Reasoning,1
16,B7,I reflect on things before acting,B,Reasoning,1
17,B8,I weigh the pros against the cons,B,Reasoning,1
18,B9,I consider myself an average person,B,Reasoning,0
19,B10,I get confused easily,B,Reasoning,0
20,B11,I know that I am not a special person,B,Reasoning,0
21,B12,I have a poor vocabulary,B,Reasoning,0
22,B13,I skip difficult words while reading,B,Reasoning,0
23,C1,I seldom feel blue,C,Emotional Stability,1
24,C2,I feel comfortable with myself,C,Emotional Stability,1
25,C3,I readily overcome setbacks,C,Emotional Stability,1
26,C4,I am relaxed most of the time,C,Emotional Stability,1
27,C5,I am not easily frustrated,C,Emotional Stability,1
28,C6,I have frequent mood swings,C,Emotional Stability,0
29,C7,I often feel blue,C,Emotional Stability,0
30,C8,I dislike myself,C,Emotional Stability,0
31,C9,I feel desperate,C,Emotional Stability,0
32,C10,I am easily discouraged,C,Emotional Stability,0
33,D1,I take charge,D,Dominance,1
34,D2,I want to be in charge,D,Dominance,1
35,D3,I say what I think,D,Dominance,1
36,D4,I am not afraid of providing criticism,D,Dominance,1
37,D5,I take control of things,D,Dominance,1
38,D6,I can take strong measures,D,Dominance,1
39,D7,I wait for others to lead the way,D,Dominance,0
40,D8,I never challenge things,D,Dominance,0
41,D9,I let others make the decisions,D,Dominance,0
