country_name,0,1,2,3,4,5,6,7,age,gender,accuracy,source,elapsed
Argentina,0.140138543801,0.235870666253,0.121861620568,0.24557556358,0.108969932129,0.127840812737,0.148005815414,0.0788193699544,25.7741935484,1.64516129032,88.5161290323,2.33870967742,1020.51612903
Australia,0.153091068892,0.176819976434,0.147779093498,0.200267572132,0.121134343673,0.13842406362,0.131291757401,0.117900233096,26.681622088,1.65832614323,88.2251941329,3.2670405522,2454.66177739
Austria,0.154606344505,0.166554051506,0.115729594995,0.280197480478,0.124122775593,0.10392455766,0.15000113989,0.0831118158852,25.8771929825,1.49122807018,86.8947368421,2.0350877193,822.929824561
Belgium,0.121244139072,0.182494466302,0.153343094715,0.266909490847,0.120241690035,0.113519506318,0.152121986746,0.0920740801004,27.8235294118,1.43529411765,84.4823529412,2.17647058824,2399.50588235
Brazil,0.110170368255,0.234084945272,0.137779797774,0.320406550591,0.12032728812,0.0969509380255,0.130933695892,0.0790789250184,23.6818181818,1.48701298701,86.7337662338,2.13636363636,1358.69480519
Bulgaria,0.130840577767,0.197060021827,0.155463288023,0.278849147951,0.111631954923,0.113450248517,0.14259171262,0.0849682744783,26.4032258065,1.5,88.1935483871,2.38709677419,1615.66129032
Canada,0.173158268988,0.17084462183,0.123006066953,0.202595108113,0.126348142856,0.146059927102,0.129949691841,0.110052673712,31.8512396694,1.58760330579,88.5880165289,2.29834710744,1508.89421488
China,0.154441584593,0.16889792644,0.167324838986,0.173845062624,0.175915404731,0.138506206565,0.128358898796,0.0790611487727,23.2671755725,1.53435114504,86.8320610687,3.80152671756,2824.35877863
Colombia,0.183167017288,0.163118994768,0.115085669196,0.212468718629,0.155212476087,0.134672164437,0.141182558176,0.0592613762964,26.14,1.36,86.62,2.12,2540.24
Croatia,0.184362728968,0.166820082966,0.132415958857,0.218641334885,0.143285472036,0.115317009073,0.138830457292,0.0707727526749,25.2941176471,1.52100840336,86.9411764706,2.10084033613,1376.06722689
Czech Republic,0.117458305727,0.187964526185,0.124593721373,0.300428973306,0.145062042479,0.122746878884,0.148004584964,0.0811006064805,25.2328767123,1.53424657534,83.8356164384,2.20547945205,2892.30136986
Denmark,0.163797624722,0.160190239511,0.141427811669,0.252739536054,0.107990215037,0.114497291827,0.139250526268,0.103669177704,27.452173913,1.48695652174,87.3130434783,2.2347826087,4982.20869565
Ecuador,0.202417752393,0.137934390186,0.150658572631,0.138213913243,0.202620333705,0.135412172528,0.122097007397,0.0588765139917,17.4653465347,1.38613861386,100.475247525,5.21782178218,1972.02970297
Europe,0.191309924986,0.124016131952,0.140198597943,0.208218638097,0.162093931343,0.13621149601,0.132164536162,0.081851991028,31.2881355932,1.4406779661,87.4576271186,2.20338983051,2567.37288136
Finland,0.13273491653,0.181527738425,0.151517791201,0.221264938745,0.128704866336,0.107380070718,0.151066477173,0.101357391316,23.2111111111,1.63703703704,85.3037037037,2.78518518519,1438.24074074
France,0.135576864967,0.195658315276,0.141461212633,0.260578978,0.130546191113,0.0960838141206,0.144469703853,0.0886800614598,25.6666666667,1.6091954023,86.5708812261,2.70881226054,2344.12260536
Germany,0.151761336153,0.17005514395,0.125990737684,0.249399508425,0.125651585871,0.119380906985,0.148551181322,0.0924636441888,26.4772036474,1.51063829787,86.4589665653,2.34042553191,4276.28571429
Greece,0.173617657513,0.168844499051,0.158314769093,0.207759620334,0.126816325724,0.136145693178,0.129839725176,0.0681393098731,28.1195652174,1.57608695652,87.402173913,2.28804347826,1305.63586957
Honduras,0.206771753729,0.154378210049,0.203795573947,0.148999430254,0.162221063985,0.130748890308,0.0924356957535,0.085834530901,17.2127659574,1.59574468085,89.1276595745,5.70212765957,1795.14893617
Hong Kong,0.121502612268,0.185712465417,0.160759756432,0.145581951564,0.171752633056,0.174219430085,0.134682997937,0.0971659083021,27.5170731707,1.69756097561,82.3756097561,3.90731707317,1668.61463415
